date,pays,Ligue,id_ligue,nom_club,id_club,id_joueur,nom,nationalité,age(saison correspondante),id_stats,Matches_Played,Minutes*,Goals,Shots,OnTarget,Ratio but par match
2016,Italy,Serie A,3,(SAM),75,112,Keita Balde,Sénégalaise,21,43,21,2033,16,70,48,"0,761904762"
2016,Spain,La Liga,4,(VAL),91,114,Kevin Gameiro,Française,29,44,21,1745,13,50,23,"0,619047619"
2016,Germany,Bundesliga,2,(BMG),12,119,Lars Stindl,Allemand,28,45,29,2673,11,68,50,"0,379310345"
2016,Spain,La Liga,4,(BAR),7,124,Lionel Messi,Argentine,29,46,32,2910,37,179,76,"1,15625"
2016,Italy,Serie A,3,(NAP),63,126,Lorenzo Insigne,Italienne,25,47,35,3031,18,147,81,"0,514285714"
2016,Spain,La Liga,4,(ATL),6,133,Luis Suarez,Uruguayenne,29,48,34,2940,28,120,57,"0,823529412"
2016,Italy,Serie A,3,(ATA),5,137,Marco Borriello,Italienne,34,49,30,2737,16,81,51,"0,533333333"
2016,Germany,Bundesliga,2,(BAY),8,142,Mario Gomez,Allemand,31,50,32,2950,16,84,45,"0,5"
2016,Italy,Serie A,3,(PSG),69,145,Mauro Icardi,Argentine,23,51,34,3188,24,109,52,"0,705882353"
2016,Germany,Bundesliga,2,(UNB),90,147,Max Kruse,Allemand,28,52,23,2121,15,41,28,"0,652173913"
2016,Germany,Bundesliga,2,(WOB),96,149,Maximilian Philipp,Allemand,22,53,23,2000,9,53,34,"0,391304348"
2016,England,Premier League,1,(WHU),95,152,Michail Antonio,Jamaïcain,26,54,29,2493,11,79,25,"0,379310345"
2016,Italy,Serie A,3,(LIV),53,155,Mohamed Salah,Égyptienne,24,55,29,2567,15,80,50,"0,517241379"
2016,Spain,La Liga,4,(JUV),43,157,Morata,Espagnole,24,56,14,1392,15,55,30,"1,071428571"
2016,Spain,La Liga,4,(PSG),69,160,Neymar,Brésilienne,24,57,30,2694,13,105,42,"0,433333333"
2016,Italy,Serie A,3,(VER),92,163,Nikola Kalinic,Croate,28,58,26,2648,15,90,61,"0,576923077"
2016,England,Premier League,1,(CHE),22,165,Olivier Giroud,Français,30,59,11,1311,12,39,20,"1,090909091"
2016,England,Premier League,1,(ROM),74,172,Pedro ,Espagne,29,60,26,2250,10,59,17,"0,384615385"
2016,England,Premier League,1,(BAR),7,173,Philippe Coutinho,Brézil,24,61,28,2327,13,107,36,"0,464285714"
2016,Germany,Bundesliga,2,(ARS),4,174,Pierre-Emerick Aubameyang,Gabonais,27,62,31,2894,31,116,78,1
2016,Germany,Bundesliga,2,(BAY),8,183,Robert Lewandowski,Polonais,28,63,31,2871,30,143,86,"0,967741935"
2016,England,Premier League,1,(LIV),53,184,Roberto Firmino,Brezil,25,64,34,3228,11,104,43,"0,323529412"
2016,England,Premier League,1,(INT),42,189,Romelu Lukaku,Belgique,23,65,36,3448,25,110,53,"0,694444444"
2016,Spain,La Liga,4,(CAR),20,191,Ruben Castro,Espagnole,35,66,32,2842,13,117,42,"0,40625"
2016,England,Premier League,1,(LIV),53,192,Sadio Mane,Sénégal,24,67,26,2347,13,58,24,"0,5"
2016,Spain,La Liga,4,(HUE),40,194,Sandro Ramlrez,Espagnole,21,68,28,2340,14,93,38,"0,5"
2016,Germany,Bundesliga,2,(HOF),39,195,Sandro Wagner,Allemande,29,69,30,2695,11,65,35,"0,366666667"
2016,Germany,Bundesliga,2,(BAY),8,201,Serge Gnabry,Allemand,21,70,23,2028,11,62,33,"0,47826087"
2016,Spain,La Liga,4,(EIB),27,203,Sergi Enrich,Espagnole,26,71,31,2904,11,64,26,"0,35483871"
